,metric,trainset,holdout,5-fold,model,selection,embed_selector
0,acc,0.515,0.515,0.515,dummy,none,none
1,auroc,0.5,0.5,0.5,dummy,none,none
2,sens,0.5,0.5,0.5,dummy,none,none
3,spec,0.0,0.0,0.0,dummy,none,none
4,ppv,0.515,0.515,0.515,dummy,none,none
5,npv,,,,dummy,none,none
6,f1,0.33993399339933994,0.33993399339933994,0.33992683918168265,dummy,none,none
7,bal-acc,0.5,0.5,0.5,dummy,none,none
8,acc,0.51,0.495,0.48,dummy,assoc,none
9,auroc,0.5158309144897074,0.5053047742968673,0.5682995010979607,dummy,assoc,none
10,sens,0.5098588729856871,0.49334400960864777,0.47958239877366965,dummy,assoc,none
11,spec,0.5051546391752577,0.4381443298969072,0.46450742240215925,dummy,assoc,none
12,ppv,0.5247524752475248,0.509009009009009,0.4922214897824654,dummy,assoc,none
13,npv,0.494949494949495,0.47752808988764045,0.46611891647280934,dummy,assoc,none
14,f1,0.5098039215686274,0.492513315244699,0.47732985233024994,dummy,assoc,none
15,bal-acc,0.5098588729856871,0.49334400960864777,0.47958239877366965,dummy,assoc,none
16,acc,0.49166666666666664,0.52,0.4925,dummy,pred,none
17,auroc,0.5,0.5,0.5,dummy,pred,none
18,sens,0.4913588896673673,0.5192673406065459,0.492153930793212,dummy,pred,none
19,spec,0.48109965635738833,0.4948453608247423,0.4840755735492578,dummy,pred,none
20,ppv,0.5065359477124183,0.5333333333333333,0.5070801944608944,dummy,pred,none
21,npv,0.47619047619047616,0.5052631578947369,0.47757385665955593,dummy,pred,none
22,f1,0.49134875964144253,0.5192307692307692,0.49080735217469884,dummy,pred,none
23,bal-acc,0.4913588896673673,0.5192673406065459,0.492153930793212,dummy,pred,none
24,acc,0.51,0.5225,0.45499999999999996,dummy,embed_linear,linear
25,auroc,0.5048043238915023,0.5488189370433391,0.5550348667165098,dummy,embed_linear,linear
26,sens,0.5084576118506656,0.5224452006806126,0.456282121814856,dummy,embed_linear,linear
27,spec,0.4570446735395189,0.520618556701031,0.4901484480431849,dummy,embed_linear,linear
28,ppv,0.5226586102719033,0.5373134328358209,0.4649384717031776,dummy,embed_linear,linear
29,npv,0.4944237918215613,0.507537688442211,0.44629649549297595,dummy,embed_linear,linear
30,f1,0.5078125,0.5223537208270033,0.4538869339878392,dummy,embed_linear,linear
31,bal-acc,0.5084576118506656,0.5224452006806126,0.456282121814856,dummy,embed_linear,linear
32,acc,1.0,0.7875,0.67,knn,none,none
33,auroc,1.0,0.7843809428485637,0.6669857100537459,knn,none,none
34,sens,1.0,0.7843809428485637,0.666985710053746,knn,none,none
35,spec,1.0,0.6804123711340206,0.5620782726045883,knn,none,none
36,ppv,1.0,0.746938775510204,0.6510211946681523,knn,none,none
37,npv,1.0,0.8516129032258064,0.7031215379602476,knn,none,none
38,f1,1.0,0.7839884624425822,0.6645806146794447,knn,none,none
39,bal-acc,1.0,0.7843809428485637,0.666985710053746,knn,none,none
40,acc,1.0,0.7925,0.7300000000000001,knn,assoc,none
41,auroc,1.0,0.8959313382043839,0.8304645290524622,knn,assoc,none
42,sens,1.0,0.7880342308077269,0.7245287233092111,knn,assoc,none
43,spec,1.0,0.6391752577319587,0.5461538461538462,knn,assoc,none
44,ppv,1.0,0.7338403041825095,0.6814199367568639,knn,assoc,none
45,npv,1.0,0.9051094890510949,0.841418108150226,knn,assoc,none
46,f1,1.0,0.7861362157705216,0.7173563238469006,knn,assoc,none
47,bal-acc,1.0,0.7880342308077269,0.7245287233092111,knn,assoc,none
48,acc,0.9466666666666667,0.94,0.8875,knn,pred,none
49,auroc,0.9999610760795827,0.9998248423581223,0.9991865216512199,knn,pred,none
50,sens,0.9450171821305842,0.9381443298969072,0.8841430499325236,knn,pred,none
51,spec,0.8900343642611683,0.8762886597938144,0.7682860998650473,knn,pred,none
52,ppv,0.906158357771261,0.8956521739130435,0.8216465201465202,knn,pred,none
53,npv,1.0,1.0,1.0,knn,pred,none
54,f1,0.9462937062937062,0.9395100312531506,0.8850131182775607,knn,pred,none
